County Number,County,Auditor,Phone/Fax/Email,Address
1,Adams,Krista Faller,"(701) 567-4363
(701) 567-2910
kfaller@nd.gov","602 Adams Ave Ste 201
Hettinger, ND 58639"
2,Barnes,Julie Mindt,"(701) 845-8500 Ext. 6666
(701) 845-8548 
jmindt@barnescounty.us","230 4th St NW Room 202
Valley City, ND 58072-2947"
3,Benson,Bonnie (Howard) Erickson,"(701) 473-5340
(701) 473-5571
bserickson@nd.gov","PO Box 206
Minnewaukan, ND 58351-0206"
4,Billings,Marcia Kessel,"(701) 623-4377
(701) 623-4761
mdkessel@nd.gov","PO Box 168
Medora, ND 58645-0168"
5,Bottineau,Emily Deschamp,"(701) 228-2225
(701) 228-5181
emily.deschamp@co.bottineau.nd.us","314 W. 5th St.Ste 10
Bottineau, ND 58318-1268"
6,Bowman,Mindy Schumacher,"(701) 523-3130
(701) 523-4899
mischumacher@bowmancountynd.gov","104 1st Street NW, Ste 1
Bowman, ND 58623-4342"
7,Burke,Amie Vandegraft,"(701) 377-2861
(701) 377-2866
avandegraft@nd.gov","PO Box 310
Bowbells, ND 58721-0310"
8,Burleigh,Mark Splonskowski,"(701) 222-6718
(701) 222-7528
msplonskowski@nd.gov","PO Box 5518
Bismarck, ND 58506-5518"
9,Cass,Brandy Madrigga,"(701) 241-5600
(701) 241-5728
madriggab@casscountynd.gov","PO Box 2806
Fargo, ND 58108-2806"
10,Cavalier,Lisa Gellner,"(701) 256-2229
(701) 256-2546
lgellner@nd.gov","901 3rd Street, Ste. 15
Langdon, ND 58249-2457"
11,Dickey,Wanda Sheppard,"(701) 349-8303
(701) 349-4639
dcauditor@nd.gov","PO Box 215
Ellendale, ND 58436-0215"
12,Divide,Gayle Jastrzebski,"(701) 965-6351
gjastrze@nd.gov","PO Box 49
Crosby, ND 58730-0049"
13,Dunn,Sally Whittingham,"(701) 573-4448 
(701) 573-4323
sally.whittingham@dunncountynd.org","205 Owens Street
Manning, ND 58642-0105"
14,Eddy,Becky Schumacher,"(701) 947-2434 Ext. 2020
(701) 947-2279
schumacher.becki@nd.gov","524 Central Ave
New Rockford, ND 58356-1652"
15,Emmons,Marlys (Marcy) Ohlhauser,"(701) 254-4807
(701) 254-4012
mohlhauser@nd.gov","PO Box 129
Linton, ND 58552-0129"
16,Foster,Ellen Roundy,"(701) 652-2441
(701) 652-2173
eroundy@nd.gov","PO Box 104
Carrington, ND 58421-0104"
17,Golden Valley,Tamra Sperry,"(701) 872-4331
(701) 872-4383
tsperry@nd.gov","PO Box 67
Beach, ND 58621-0067"
18,Grand Forks,Debbie Nelson,"(701) 780-8200
(701) 780-8207
elections@gfcounty.org","PO Box 5726
Grand Forks, ND 58206-5726"
19,Grant,Sara Meier,"(701) 622-3275
(701) 622-3005
sarmeier@nd.gov","PO Box 227
Carson, ND 58529-0227"
20,Griggs,Samantha Larson,"(701) 797-3117
(701) 797-3587
samantha.larson@griggscountynd.gov","PO Box 511
Cooperstown, ND 58425-0511"
21,Hettinger,Jeri Schmidt,"(701) 824-2515
(701) 824-2717
jerschmidt@nd.gov","336 Pacific Avenue
Mott, ND 58646"
22,Kidder,Jean Schoenhard,"(701) 475-4547
(701) 475-2202
jschoenhard@nd.gov","PO Box 167
Steele, ND 58482-0167"
23,LaMoure,Jan Hamlin,"(701) 883-6040
(701) 883-4514
jjhamlin@nd.gov","PO Box 128
LaMoure, ND 58458-0128"
24,Logan,Jody Kristiansen,"(701) 754-2425
(701) 754-2282
jkristiansen@nd.gov","301 Broadway
Napoleon, ND 58561-7010"
25,McHenry,Darlene Carpenter,"(701) 537-5724
(701) 537-5969
dcarpenter@nd.gov","407 Main Street S, Room 201
Towner, ND 58788-4048"
26,McIntosh,Gina Ketterling,"(701) 288-5141
(701) 288-3671
gketterl@nd.gov","PO Box 39
Ashley, ND 58413-0039"
27,McKenzie,Erica Johnsrud,"(701) 444-3616 Ext. 3
(701) 444-4113
ejohnsrud@co.mckenzie.nd.us","201 5th St NW Ste 543
Watford City, ND 58854"
28,McLean,Beth Knutson,"(701) 462-8541 Ext. 825
(701) 462-3542
baknutson@nd.gov","PO Box 1108
Washburn, ND 58577"
29,Mercer,Carmen Reed,"(701) 745-3292 
(701) 745-3793
careed@nd.gov","PO Box 39
Stanton, ND 58571-0039"
30,Morton,Dawn Rhone,"(701) 667-3300  
(701) 667-3380
dawn.rhone@mortonnd.org","210 2nd Ave. NW
Mandan, ND 58554-3158"
31,Mountrail,Stephanie A Pappa,"(701) 628-2145  
(701) 628-2276
stephp@co.mountrail.nd.us","PO Box 69
Stanley, ND 58784-0069"
32,Nelson,Nathan Parks,"(701) 247-2463  
(701) 247-2754
naparks@nd.gov","210 B Ave W, Ste 201
Lakota, ND 58344-7410"
33,Oliver,Jaden Schmidt,"(701) 794-8721  
(701) 794-3476
jadschmidt@nd.gov","PO Box 188
Center, ND 58530-0188"
34,Pembina,Linda Schlittenhard,"(701) 265-4231  
(701) 265-4876
lschlitt@nd.gov","301 Dakota St W Unit 1
Cavalier, ND 58220-4100"
34,Pembina,Melissa Gapp,"(701) 265-4231 
(701) 265-4876
gappmelissa@nd.gov","301 Dakota St W, #1
Cavalier, ND 58220"
35,Pierce,Karen Migler,"(701) 776-5225 Ext. 2000
(701) 776-6942
kmigler@nd.gov","240 2nd St SE, Site 6
Rugby, ND 58368"
36,Ramsey,Kandy Christopherson,"(701) 662-7025  
(701) 662-7049
kchristo@nd.gov","524 4th Avenue NE Unit 6
Devils Lake, ND 58301-2490"
37,Ransom,Nicole Gentzkow,"(701) 683-6113  
(701) 683-5827
ngentzkow@nd.gov","PO Box 668
Lisbon, ND 58054-0668"
38,Renville,LeAnn Pollman,"(701) 756-6301  
(701) 756-7158
lpollman@nd.gov","PO Box 68
Mohall, ND 58761-0068"
39,Richland,Sandy Fossum,"(701) 642-7700  
(701) 642-7701
sfossum@co.richland.nd.us","418 2nd Ave. N
Wahpeton, ND 58075-4400"
40,Rolette,Kimberly Wuori,"(701) 477-5665 Ext. 101
(701) 477-6339
wuorikimberly@nd.gov","PO Box 939
Rolla, ND 58367-0939"
41,Sargent,Pam Maloney,"(701) 724-6241 Ext. 101
(701) 724-6244
pmaloney@nd.gov","355 Main St S, Ste 1
Forman, ND 58032-4149"
42,Sheridan,Shirley A Murray,"(701) 363-2205
(701) 363-2953
smurray@nd.gov","PO Box 439
McClusky, ND 58463-0439"
43,Sioux,Angela Eagle,"(701) 854-3481
(701) 854-3854
aeagle@nd.gov","PO Box L
Fort Yates, ND 58538"
44,Slope,Lorrie Buzalsky,"(701) 879-6276  
(701) 879-6278
lbuzalsky@nd.gov","206 Main St
Amidon, ND 58620-0449"
45,Stark,Karen Richard,"(701) 456-7630  
(701) 456-7634
krichard@starkcountynd.gov","PO Box 130
Dickinson, ND 58602-0130"
46,Steele,Jana Flaten,"(701) 524-2110  
(701) 524-1715
flatenjana@nd.gov","PO Box 275
Finley, ND 58230-0275"
47,Stutsman,Jessica Alonge,"(701) 252-9035 
(701) 251-6310
jalonge@stutsmancounty.gov","511 2nd Ave. SE, Ste 102
Jamestown, ND 58401-4298"
48,Towner,Mindy Reimer,"(701) 968-4340 Ext. 1
(701) 968-4342
mreimer@nd.gov","PO Box 603
Cando, ND 58324-0603"
49,Traill,Glenda Haugen,"(701) 636-4458  
(701) 636-5418
glenda.haugen@co.traill.nd.us","PO Box 429
Hillsboro, ND 58045-0429"
50,Walsh,Kristi Quibell,"(701) 352-2851  
(701) 352-3340
kquibell@nd.gov","600 Cooper Ave
Grafton, ND 58237-1535"
51,Ward,Marisa Haman,"(701) 857-6420  
(701) 857-6424
marisa.haman@wardnd.com","PO Box 5005
Minot, ND 58702-5005"
51,Ward,Rachael Wyum," rachael.wyum@co.ward.nd.us","PO Box 5005
Minot, ND 58702-5005"
52,Wells,Dan Stutlien,"(701) 547-3521  
(701) 547-3719
dstutlien@nd.gov","700 Railway St N #37
Fessenden, ND 58438"
53,Williams,Beth M Innis,"(701) 577-4500  
(701) 577-4510
bethi@co.williams.nd.us","PO Box 2047
Williston, ND 58802-2047"
