AREA_NAME,DISTRICT_NAME,LOCALE_NAME,ADDRESS,CITY,STATE,ZIP_CODE,LOG_REGION_NAME,LOG_DIVISION_NAME,PROC_REGION_NAME,PROC_DIVISION_NAME,Status,Incident_Type,Comment,LAST_EDITED_DATE,LAST_EDITED_USER,x,y
CENTRAL (J),MN-ND,ALAMO,24 MAIN ST,ALAMO,ND,58830,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-11518193.5373,6204194.033
CENTRAL (J),MN-ND,ADAMS,500 MAIN ST,ADAMS,ND,58210,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-10917641.1371,6177393.9045
CENTRAL (J),MN-ND,ABERCROMBIE,515 BROADWAY,ABERCROMBIE,ND,58001,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-10767812.227,5852418.988899998
CENTRAL (J),MN-ND,ALEXANDER,602 ELK ST,ALEXANDER,ND,58831,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11537449.1375,6080763.317900002
CENTRAL (J),MN-ND,AMBROSE,203 MAIN ST,AMBROSE,ND,58833,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-11519612.1929,6267155.7080999985
CENTRAL (J),MN-ND,ANAMOOSE,602 MAIN ST,ANAMOOSE,ND,58710,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"12/19/2022, 10:27 AM",QQWFR0,-11158763.8296,6087210.887599997
CENTRAL (J),MN-ND,ALMONT,206 MAIN ST,ALMONT,ND,58520,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-11299356.1163,5897575.6576000005
CENTRAL (J),MN-ND,ARNEGARD,110 MAIN ST S,ARNEGARD,ND,58835,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-11514904.8256,6075068.574900001
CENTRAL (J),MN-ND,AMIDON,108 INMAN ST,AMIDON,ND,58620,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-11501573.2034,5858053.865999997
CENTRAL (J),MN-ND,ASHLEY,110 E MAIN ST,ASHLEY,ND,58413,CENTRAL,MIDWEST,WESTERN,MIDWEST,OPEN,,,"5/9/2021, 11:04 AM",QQWFR0,-11061951.2722,5785912.4661
