"County","County Number","Legislative District","Precinct Number","Polling Location","Address","City","State","Zip Code","Polling Hours","County Auditor Phone"
"Adams","01","39","01","Adams County Courthouse","602 Adams Ave Ste 201","Hettinger","ND","58639"," 9:00AM-7:00PM","(701) 567-4363 Ext. "
"Barnes","02","24","01","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","02","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","03","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","04","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","05","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","06","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","07","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","08","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","09","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","10","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","11","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","12","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","13","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","14","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Barnes","02","24","15","Barnes County Courthouse","230 4th St NW","Valley City","ND","58072"," 7:00AM-7:00PM","(701) 845-8500 Ext. 6666"
"Benson","03","09","01","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","01","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","01","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","02","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","02","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","02","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","03","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","03","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","03","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","04","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","04","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","04","Warwick Public School","210 4th Ave","Warwick","ND","58381"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","05","Benson County Courthouse","311 B Ave S","Minnewaukan","ND","58351"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
"Benson","03","09","05","Ft. Totten Community Center","816 3rd Ave. N","Fort Totten","ND","58335"," 9:00AM-7:00PM","(701) 473-5340 Ext. "
